text,class
"it ""contributes to the effective conduct of public business",1
facilitates and encourages the amicable settlements of disputes between employees and their employers,1
there is an inherent right to collective bargaining,1
partial-birth abortion .. is .. unnecessary to preserve the health of the mother,1
a partial-birth abortion bore no relevance to any measure needed to advance the health of any woman,1
it should be illegal for governments to regulate abortion,1
"the state has an ""important and legitimate interest in protecting the potentiality of human life",1
"while the state has an interest in protecting the fetus ""at some point"", this interest cannot override that of the pregnant woman",1
abortion is morally wrong,1
"while the fetus is innocent and biologically human, it is not a person with a right to life",1
a right to life beginning at conception,1
abortion involves unjust discrimination against the unborn,1
abortion is morally wrong,1
"deliberate abortions are placed in the ""same moral category"" as killing an innocent adult human being",1
having an abortion is equivalent to consciously taking the risk of killing another,1
abortion to be morally wrong,1
moral right to life of human beings (human organisms) begins at or near conception-fertilization,1
induced abortion is the deliberate and unjust killing of the embryo in violation of its right to life,1
women have a right to control what happens in and to their own bodies,1
the law should not criminalize just exercises of the right to control one’s own body,1
criminalizing abortion will lead to the deaths of many women through ‘back-alley abortions,1
the embryo has a right to life,1
the right to life begins at conception,1
abortion is wrong because it deprives the embryo of a valuable future,1
"as a standard embryo does have a highly valuable future, killing it is seriously wrong",1
deliberate abortions are seriously immoral,1
the fetus has a right to life,1
abortion causes mental health problems,1
abortion has negative effects on society,1
the right of personal privacy includes the abortion decision,1
there is a fundamental right to privacy encompassing the decision about abortion,1
abortions should be legal under any circumstances,1
abortions should be legal under any circumstances,1
unborn children to have an inherent right to life,1
abortion a fundamental right,1
the decision to abort must be left to the mother and her physician,1
"a state's ban on ""partial birth abortion"" was unconstitutional",1
"abortion, and especially late-term abortion, is unjust",1
Critics consider the procedure to be infanticide,1
a state law banning certain forms of abortion was unconstitutional,1
it would be safer and would involve fewer risks for the women,1
D&X abortions were never medically necessary,1
government had no right to force doctors to perform any procedure other than what they felt would be the safest,1
the state has an interest in preserving fetal life,1
intact dilation and extraction procedure is never needed to protect the health of a pregnant woman,1
one must abort a fetus if the continuation of pregnancy might imperil the life of the woman,1
abortion is justifiable if a continuation of pregnancy might cause the woman severe physical or psychological harm,1
"In all circumstances, it should be her decision whether or not to terminate a pregnancy",1
any decision should be left up to the woman within whose body the fetus is growing,1
life begins at conception,1
"abortion, which would then involve the deliberate destruction of life, should be rejected",1
abortion should be approved or disapproved according to each circumstance,1
abortion should be legal in all circumstances,1
The government should not interfere with a woman’s ability to have an abortion,1
is a person and therefore has a right to life,1
whether or not to continue with a pregnancy is an inviolable personal choice,1
legal abortion under medically controlled conditions is preferable to illegal back-alley abortion without proper medical supervision,1
they could be used to form a slippery slope against all abortions,1
women's lives are lost due to unsafe abortions when abortion is illegal,1
"Gender imbalance may result in the threat of social unrest, especially in the case of an excess of low-status young males unable to find spouses",1
sex selection is an expression of reproductive rights,1
a lack of opportunity for many men to marry is believed to be producing increases in crime,1
"if female babies [were] worth their weight in rupees and yuan, economic and educational opportunities for girls would soon follow",1
Shortage of females has the effect of driving human trafficking,1
"son preference, which results in harmful and unethical practices",1
Only if equality of males and females is strongly promoted .. will the harmonious and sustainable development of society be possible,1
children need the 2–3 months off to relax and also to take a break from other childhood stresses associated with school,1
summer vacation is a period when students’ rate of academic development declines relative to the school year,1
All children lose academic skills during the summer months,1
working parents wish their children to be supervised,1
"if unsupervised, children may fall into criminal or undesirable activity",1
Multitrack schedules reportedly bring many benefits to schools that use them,1
"for every three multitrack schools, one less school must be built",1
students’ attitudes towards school did significantly increase as they spent more time on a year-round schedule,1
Students who attend year-round school say that their calendar is more balanced than their peers who have a typical school calendar,1
"year-round schools showed a substantial gain in academic achievement for at-risk, low performing students",1
"More frequent, short breaks provide struggling students more time for help",1
parents are in favor of the year-round schedule,1
The year round schedule provides more opportunities for family vacations,1
If schools are open for longer the operating and maintenance costs may increase,1
Year round schooling may create difficulties for teens to be able to maintain part-time or summer job,1
Students with attention learning disabilities may experience difficulties with longer school days,1
Students that attend year round schooling may miss out on experiences,1
Subsidies may distort markets,1
subsidies may distort the market,1
produce inefficiencies,1
they are inefficient,1
"poverty, once started, is likely to continue unless there is outside intervention",1
"Safety nets redistribute income to the poorest and most vulnerable, with an immediate impact on poverty",1
Safety nets enable households to make productive investments in their future that they may otherwise miss,1
CCT Programs have been proved to be very well-targeted and effective,1
CCT Programs are efficient tools for reducing poverty and inequality,1
Subsidies guarantee access to essential commodities at prices that consumers can afford,1
they tend to be expensive and regressive,1
May distort production incentives,1
Safety nets in low-income countries are increasingly being recognized as effective tools to reach out to the most vulnerable,1
they protect households facing hard times from falling into deeper poverty and help them manage risk,1
they can provide households with a cushion to invest resources more efficiently,1
welfare has reduced poverty,1
sustains or even creates poverty,1
poverty decreases after countries adapt welfare programs,1
welfare creates a dependence,1
makes an incentive to not find work,1
welfare not only increases poverty but also increases other problems,1
"the welfare state has produced a generation of dependents who, instead of working, rely solely upon the state for income",1
it creates dependence to the state,1
the availability of government funds has led to tensions within the community,1
foreign aid is seen to be serving the interests of the donor more than the recipient,1
Higher levels of economic inequality tend to intensify social hierarchies and generally degrade the quality of social relations,1
Economic inequality is thought to reduce distributive efficiency within society,1
a society with more equality will have higher aggregate utility,1
"in societies where inequality is lower, population-wide satisfaction and happiness tend to be higher",1
an increased gap between rich and poor increases the incentives for competition and innovation within an economy,1
inequality is harmful for economic development,1
redistributive policies that have an adverse effect on investment and economic growth,1
economic equality is necessary for political freedom,1
when there is economic inequality then political inequality is assured,1
a certain amount of redistribution would be justified,1
"without redistribution, one generation's successful individuals would become the next generation's embedded caste",1
social justice requires redistribution of high incomes and large concentrations of wealth in a way that spreads it more widely,1
economic inequality reduces social cohesion and increases social unrest,1
economic inequality invariably translates to political inequality,1
welfare empowers individuals,1
breeds dependence on government aid,1
welfare only bred dependence on the government,1
welfare has demonstrated some proven effects for helping impoverished families,1
less stratified economies are more socially just,1
"the rich have an obligation to assist the poor, thus creating a more financially egalitarian society",1
"the rich exploit the poor or otherwise gain unfair benefits, and thus should return some of those benefits",1
a larger middle class benefits an economy by enabling more people to be consumers,1
economic inequality contributes to crime,1
a lower rate of redistribution in a given society increases the inequality found among future incomes,1
wealth and income inequality are a cause of economic crises,1
reducing these inequalities is one way to prevent or ameliorate economic crises,1
it improves social stability,1
there is no encouragement of those receiving aid to resume working,1
redistribution of legitimately obtained property cannot ever be just,1
redistribution tends to benefit those with political clout to set spending priorities more than those in need,1
A significant number of firearms that make their way to Mexico come from U.S. gunshops,1
most weapons and arms trafficked into Mexico are from gun dealers in the United States,1
Mexican crime guns traced to U.S. origins,1
a 'significant' percentage of their firearms originate from gun stores and other sources in the U.S,1
most of the financing for the Mexican traffickers comes from American drug consumers,1
America's] insatiable demand for illegal drugs fuels the drug trade,1
the root cause of the problem: U.S. demand,1
a 'significant' percentage of their firearms originate from gun stores and other sources in the U.S,1
the majority of illegal guns in Mexico really come from the United States,1
American guns are arming the Mexican drug cartels,1
most weapons and arms trafficked into Mexico are from gun dealers in the United States,1
American guns are arming the Mexican drug cartels,1
"the ATF knowingly allowed thousands of guns to be bought by suspected arms traffickers (""gunrunners"") working through straw purchasers on behalf of Mexican drug cartels",1
"American) government has been sending weapons to Mexico in a premeditated and systematic manner, knowing that their destinations were Mexican criminal organizations",1
"by making drugs illegal rather than regulating them, the War on Drugs creates a highly profitable black market",1
most of the financing for the Mexican traffickers comes from American drug consumers,1
firearms recovered in Mexico came from U.S. gun dealers,1
the root cause of the problem: U.S. demand,1
"American) government has been sending weapons to Mexico in a premeditated and systematic manner, knowing that their destinations were Mexican criminal organizations",1
the US keeps a huge stockpile of nuclear weapons while urging other nations not to get them,1
"the United Nations Charter, ratified by the U.S., prohibits members from using force against fellow members except against imminent attack",1
more countries with nuclear weapons may increase the possibility of nuclear warfare,1
A fundamental goal for American and global security is to minimize the proliferation risks associated with the  expansion of nuclear power,1
the spread of nuclear weapons could increase international stability,1
it will decrease the likelihood of war,1
nuclear weapons promote caution in decision-makers,1
most states are not in a position to safely guard against nuclear use,1
weak states will be unable to prevent – or will actively provide for – the disastrous possibility of nuclear terrorism,1
If one state produces a nuclear weapon it creates almost a domino effect within the region,1
prohibition on nuclear proliferation has been characterised as a form of technological apartheid,1
"no issue carries more importance to the long-term health and security of humanity than the effort to reduce, and perhaps one day, rid the world of nuclear weapons",1
"Nuclear weapons are said to have induced ""nuclear peace",1
reliance on nuclear weapons for deterrence is becoming increasingly hazardous and decreasingly effective,1
the likelihood that non-state terrorists will get their hands on nuclear weaponry is increasing,1
"no issue carries more importance to the long-term health and security of humanity than the effort to reduce, and perhaps one day, rid the world of nuclear weapons",1
nuclear weapons had become a source of extreme risk,1
nuclear weapons are intended to deter other states from attacking with their nuclear weapons,1
Nuclear weapons give nations the potential to not only destroy their enemies but humanity itself,1
nuclear weapons had become a source of extreme risk,1
nuclear weapons can induce stability,1
decrease the chances of crisis escalation,1
nuclear weapons are said to have induced stability,1
nuclear proliferation may be beneficial for inducing stability,1
increases the chance of inter-state nuclear conflict,1
increases the chances of nuclear material falling into the hands of non-state groups who are free from the threat of nuclear retaliation,1
new nuclear states will use their acquired nuclear capabilities to deter threats and preserve peace,1
"new nuclear states often lack adequate organizational controls over their new weapons, which makes for a high risk of either deliberate or accidental nuclear war",1
"Nuclear weapons may also lessen a state's reliance on allies for security, thus preventing allies from dragging each other into wars",1
nuclear weapons induce stability,1
nuclear weapons contribute to stability,1
the NPT cannot stop the proliferation of nuclear weapons or the motivation to acquire them,1
Having more nuclear nuclear-weapon states would reduce security for all,1
the significance of nuclear weapons is purely to deter war,1
nuclear proliferation would be desirable,1
nuclear weapons successfully deter all-out war between states,1
"no issue carries more importance to the long-term health and security of humanity than the effort to reduce, and perhaps one day, rid the world of nuclear weapons",1
"with nuclear weapons more widely available, deterrence is decreasingly effective and increasingly hazardous",1
unproven religious propositions deserve as much disbelief as all other unproven propositions,1
atheists are quick to believe in God in times of crisis,1
God and other religious beliefs are human inventions,1
"belief in God and religion are social functions, used by those in power to oppress the working class",1
the idea of God implies the abdication of human reason and justice,1
it is the most decisive negation of human liberty,1
necessarily ends in the enslavement of mankind,1
"denying the existence of a god leads to moral relativism, leaving one with no moral or ethical foundation",1
renders life meaningless and miserable,1
religion as a human invention used to frighten people into following moral order,1
atheism is a superior basis for ethics,1
religions provide a net benefit to individuals and society,1
religions can be harmful,1
reliance on divine authority lends itself to authoritarianism and dogmatism,1
arguments for the existence of God show insufficient reason to believe,1
"the universe includes ""ideas"" not perceptible to mankind (or not always perceptible), and that there must therefore exist an omniscient superobserver",1
"there was a ""first cause"", or ""prime mover"" who is identified as God",1
the universe's order and complexity are best explained by reference to a creator God,1
certain features of the universe and of living things are the product of an intelligent cause,1
"basic facts, such as humanity's existence, are best explained by the existence of God",1
"ethics, and other serious matters do not make sense in the absence of God",1
atheistic arguments must ultimately refute themselves if pressed with rigorous consistency,1
the theism of people throughout most of recorded history and in many different places provides prima facie demonstration of God's existence,1
when a person's understanding ponders over the existence of God it encounters nothing but contradictions,1
natural (non-supernatural) theories adequately explain the development of religion and belief in gods,1
The argument for the existence of god is then a logical fallacy,1
the concept of an omnipotent entity is logically contradictory,1
things cannot exist without creators,1
"an omnipotent and omniscient being would not have any reason to act in any way, specifically by creating the universe",1
"if, when asked for, there is no visible help from God, there is no reason to believe that there is a God",1
an unchanging God cannot be the source of an ever changing world,1
the idea of God is inconceivable and self-contradictory,1
a perfect God can have no need to create a world,1
"a benevolent deity ought to create only happy creatures, not an imperfect world like the real world",1
the evidence allegedly proving the existence of God was insufficient,1
"God's existence ""can be known with certainty from the created world by the natural light of human reason",1
God's existence can be demonstrated,1
"all human experience and action (even the condition of unbelief, itself) is a proof for the existence of God",1
there is insufficient reason to believe that any gods exist,1
the existence of some or all gods is logically impossible,1
are logically contradictory,1
there are no good reasons and no credible grounds for believing that gods exist,1
there are insufficient grounds to assert authoritatively that any supreme being does not exist,1
acknowledgment of God or the gods is a major factor in motivating people towards moral behavior,1
Atheism has been criticized as a faith in itself,1
atheism systematically influences people to do bad things,1
humanity would be better off without religion or belief in God,1
is divisive and dangerous,1
atheism is not a recipe for despair but just the opposite,1
is life-affirming in a way that religion can never be,1
religion does more harm than good,1
all phenomena could be understood as resulting from purely natural causes,1
religion was born of fear and ignorance,1
they require beliefs that are irrational,1
religious beliefs and traditions lack scientific or rational foundations,1
Religions often posit facts that are contradicted by scientific evidence,1
their teachings are outdated in comparison with modern Western morals,1
Religions have promoted facts and histories that are contradicted by science,1
"theist religions and their holy books are not divinely inspired, but instead are fabrications of non-divine human individuals",1
there are reasonable arguments supporting the existence of God,1
religious belief is a delusion,1
religious belief is a delusion,1
religion is nothing more than a social construct that primitive humans evolved,1
the need for explaining life and death can be met by science and philosophy,1
"atheism was responsible for ""some 20th century atrocities",1
theistic religions devalue human compassion and morality,1
religion is a positive civilizing influence on society,1
life and the universe were created by a deity,1
faith − belief that is not based on evidence − is one of the world's great evils,1
"atheism is evidence of a healthy, independent mind",1
the God hypothesis inferior to evolution by natural selection as explanations for the complexity of life,1
"where design fails to explain complexity, evolution by natural selection succeeds",1
"The theory of natural selection is much simpler than the theory of the existence of such a complex being, and thus preferable",1
God is improbable,1
a creator of a universe with such complexity would have to be complex and improbable,1
"there must be a first cause, which can be given the name God",1
evolution can explain the apparent design in nature,1
"Natural selection and similar scientific theories are superior to a ""God hypothesis""—the illusion of intelligent design—in explaining the living world and the cosmos",1
"atheism is evidence of a healthy, independent mind",1
evolution by natural selection can explain apparent design in nature,1
the designer hypothesis immediately raises the larger problem of who designed the designer,1
the theory of a universe without a God is preferable to the theory of a universe with a God,1
religion is needed to make us behave morally,1
"fills a ""much needed gap",1
religion is socially dangerous,1
"something caused the Universe to exist, and this First Cause must be God",1
existence must be due to an agent cause,1
"the existence of the Universe requires an explanation, and the creation of the Universe by a First Cause, generally assumed to be God, is that explanation",1
a god created the Universe,1
the existences of such a god and of evil are logically incompatible,1
"God cannot exist with, or would want to prevent, all evils",1
God and evil are logically incompatible,1
"An omniscient, wholly good being would prevent the occurrence of any intense suffering",1
the universe can be explained without any reference to the supernatural,1
God exists and this can be proven,1
none of the arguments for God's existence are compelling,1
human reason is incapable of providing sufficient rational grounds to justify the belief that deities either do or do not exist,1
"God, the beginning and end of all, can, by the natural light of human reason, be known with certainty from the works of creation",1
"the effect of religious belief, is positively harmful",1
there is evidence even for the existence of a God,1
we do not need God to explain things,1
the most immoral acts in human history were performed by atheists,1
the human race no longer needs religion,1
all attempts to reconcile faith with science and reason are consigned to failure,1
"Because current science can't figure out exactly how life started, it must be God who caused life to start",1
belief in a higher being is the product of fear,1
"everything in the Universe has a purpose, which must have been caused by God",1
"everything in the Universe follows laws, which must have been created by God",1
God must exist to give force to moral obligations,1
"objective moral truths and the binding nature of obligations suggests a high power to enforce them, regarded as God",1
only the existence of God as orthodoxly conceived could support the existence of moral order in the world,1
"A natural moral order requires the existence of God as orthodoxly conceived, so god must exist",1
there is not good argument for God's existence that arises from pure reason alone,1
all moral thought requires the assumption that God exists,1
"theists are able to offer justification for morality, while atheists are not",1
the natural is all that exists,1
nothing exists beyond the natural universe,1
nature is all there is,1
"identification requirements, however, may heighten the opportunities for confusion and voter intimidation",1
may reduce rather than expand the electorate,1
voter identification laws that could suppress the turnout by voters,1
presenting them is a minor inconvenience when weighed against the possibility of ineligible voters affecting elections,1
photo ID requirements disproportionately affect minority and elderly voters,1
photo identification was necessary to prevent widespread voter fraud,1
would decrease voting,1
The danger of voter fraud threatens the integrity of the entire electoral process,1
"it ""has the potential to block millions of eligible American voters, and thus suppress the right to vote",1
procedures for acquiring an ID were too burdensome and costly for some low income or elderly voters,1
conscription would not provide adequate protection for the rights of conscientious objectors,1
adequate military strength could be maintained without having conscription,1
the draft is fundamentally unfair,1
The draft has been perceived by some as unfairly targeting the poor and lower middle classes,1
it was less likely that a republic with conscription would engage in preemptive wars,1
the draft should be reinstated to make the military more equal,1
"the draft ""does bring people from all quarters of our society together in the common purpose of serving",1
it violates individual rights,1
represents slavery and involuntary servitude,1
"Of all the statist violations of individual rights in a mixed economy, the military draft is the worst",1
It is an abrogation of rights,1
It negates man’s fundamental right—the right to life,1
the very conception of a just government in its duty to the citizen includes the reciprocal obligation of the citizen to render military service in case of need,1
"in a cost-to-benefit ratio, conscription during peace time is not worthwhile",1
Months or years of service amongst the most fit and capable subtracts from the productivity of the economy,1
The work effort of the conscripts is effectively wasted,1
professionally-skilled conscripts are also difficult to replace in the civilian workforce,1
"Every soldier conscripted in the army is taken away from his civilian work, and away from contributing to the economy which funds the military",1
it was the right and privilege of every citizen to participate to the defense of the whole society,1
mandatory military and national service as ways of instilling maturity in young adults,1
"some service is better than none at all, bringing citizens in contact with their military",1
the abolition of the draft would lead to recruitment shortages even for higher ranking positions,1
considerable savings in defence spending from abolishing the draft,1
professional armed forces can be more expensive than a draft-based military,1
the draft was simply anachronistic,1
The draft obliged male citizens to pay society back through their military or civilian service,1
military service provides job skills,1
personal and technical skills learned in the military will improve later employment prospects in civilian life,1
leadership skills acquired during military training can absolutely enhance one’s chances for success in corporate life,1
in the case of a mandatory draft members of the U.S. Congress would be much less likely to authorize an unnecessary war,1
bringing back the draft would remedy the social disparity,1
a draft would make the military more representative of the American public at large,1
Fairness dictates that the sons and daughters of the white middle and upper classes share the burden of war,1
aid is never effective,1
it has achieved significant impact when it has been properly directed and managed,1
aid is ineffective,1
the impact of aid on GDP growth is positive,1
"aid has less or no significant impact in countries with ""poor"" institutions and policies",1
aids used for infrastructure and investments will result in a positive economic growth,1
aid is effective under a wide variety of circumstances,1
aid alone is not enough to lift developing countries out of poverty,1
aid actually has a significant impact on growth,1
trade is an important tool for development,1
Aid is Not Working,1
foreign aid has harmed Africa,1
foreign aid helps perpetuate the cycle of poverty,1
hinders economic growth,1
"were aid cut, African governments would respond by turning to other sources of finance that would make them more accountable",1
more foreign aid is needed to improve conditions for Africa,1
the path to long-term development would only be achieved through private sector involvement and free market solutions,1
the most effective manner to help developing countries advance is through state-controlled foreign aid,1
government-to-government aid was neither necessary nor sufficient for development,1
leads to corruption,1
misallocates resources,1
erodes civil society,1
Countries which rely on only a few exports for much of their income are very vulnerable to changes in the market value of those commodities,1
Aid helps make the recipient country (the country that receives aid) get more developed,1
Often aid does not even reach the poorest people,1
"Often money gained from aid is used up to make infrastructures (bridges, roads etc.), which only the rich can use",1
the recipient country becomes more dependent on aid from a donor country,1
aid is ineffective,1
development aid has no effect on the speed with which countries develop,1
much government-to-government aid was ineffective,1
help based on direct donation creates dependency and corruption,1
has an adverse effect on local production,1
rich countries have put so many conditions on aid that it has reduced aid effectiveness,1
a very large part of the spend money on development aid is simply wasted uselessly,1
Development Assistance to the Third World Has Failed,1
development aid is an important source of investment for poor and often insecure societies,1
aid's complexity and the ever expanding budgets leave it vulnerable to corruption,1
Aid to underdeveloped countries has sometimes been criticized as being more in the interest of the donor than the recipient,1
it is not effective,1
it did not do what it was intended to do or help the people it was intended to help,1
foreign aid generally does boost growth,1
"foreign assistance, especially foreign capitalism, has been somewhat deleterious to African development",1
aid can often distort incentives in poor countries in various harmful ways,1
"An implementation of aid can easily be problematic, causing more problems than it solves",1
foreign aid causes harm to the recipient nations,1
hollows out the local economy,1
"encouraging developing economies to develop their agriculture with a focus on exports is not effective on a global market where key players, such as the US and EU, heavily subsidise their products",1
aid is not targeting the most extreme poverty,1
it neither goes where it was intended nor helps those intended,1
Aid can make progress towards reducing poverty worldwide,1
foreign aid is efficacious,1
"in many instances, aid is conditionally tied due to political motives, rather than notions of proper policy and implementation",1
direct monetary assistance from industrialized countries has gone to increase the standard of living in many impoverished nations,1
intervention by financial contributors could ease domestic unrest,1
The contribution of funding to economically unstable nations has helped to create more economic opportunities,1
some aid has been proven to help nations develop in the past,1
"When a country is given money because they cannot financially sustain themselves, several negative effects have the potential to develop",1
it simply does not work,1
"In the case of federally funded aid, contributions have, in effect, crowded out any investment in the private sectors of many nations",1
pouring vast amounts of money into development aid without any concern for results has failed,1
Trade is a key factor in economic development,1
A successful use of trade can boost a country's development,1
opening up markets to international trade may leave local producers swamped by more competitive foreign producers,1
"trade, development, and poverty reduction are intimately linked",1
trade and growth are strongly linked,1
export-led growth has been a key part of many countries’ successful development strategies,1
liberalization when institutions and the economy are not strong enough to face risks and opportunities can be harmful,1
trade-led growth is pro-poor,1
foreign aid to many third world countries has failed to produce sustainable growth,1
people continue to die at a high rate due in large part to lack of sufficient aid,1
sufficient foreign aid can make up for the lack of capital in poor countries,1
"If the foreign assistance is substantial enough, and lasts long enough, the capital stock rises sufficiently to lift households above subsistence",1
helps growth,1
is essential in providing better lives,1
trade rules are often unfair as they block access to richer nations’ markets and ban poorer nations from supporting their industries,1
Western monetary aid often only serves to increase poverty and social inequality,1
foreign aid is seen to be serving the interests of the donor more than the recipient,1
some of the foreign aid is stolen by corrupt governments and officials,1
higher aid levels erode the quality of governance,1
aid is not spread properly,1
free trade will make society more prosperous,1
"Trade also allows for better quality produce and competitiveness between nations, effectively raising the living standards of those nations",1
increased trade is the best way to relieve extreme poverty throughout the world,1
free trade gives optimal economic advantages,1
Free trade is generally considered to achieve an overall increase in utility in a society,1
Individuals can be made worse off by an opening of trade,1
aid towards Africa does more harm than good,1
foreign aid may not even be helpful in the long run to many African nations,1
free trade helps workers in developing countries,1
Care work is essential to human well-being,1
care work is directly related to the health of a society as well as to the economic development of that society,1
"the household sector is a wealth spender, and not a wealth creator",1
the household sector plays a very important role in wealth creation,1
women's jobs in the home were not part of any market,1
the household does not form wealth,1
the quality of care may decrease in response to the call for profit-making and efficiency,1
care work should not be done for pay because pay will undermine the intrinsic motivations for this work,1
care work should be better compensated by the market,1
care work as central to economic development and human well-being,1
unpaid domestic work is just as valuable as paid work,1
domestic labor is work,1
intellectual property is desirable because it encourages innovation,1
creators will not have sufficient incentive to invent unless they are legally entitled to capture the full social value of their inventions,1
intellectual property rights are essential to maintaining economic growth,1
give statutory expression to the moral and economic rights of creators in their creations,1
"promote, as a deliberate act of Government policy, creativity",1
encourage fair trading which would contribute to economic and social development,1
effective enforcement of intellectual property rights is critical to sustaining economic growth,1
a positive correlation between the strengthening of the IP system and subsequent economic growth,1
IP can be a disincentive to innovation,1
they promote public welfare,1
To violate intellectual property is therefore no different morally than violating other property rights,1
allowing property rights in ideas and information creates artificial scarcity,1
infringes on the right to own tangible property,1
patents were obstructing research,1
patents as state-granted monopolies inconsistent with free trade,1
they may hinder innovation,1
"give rise to ""troll"" entities",1
"intellectual property rights may become so fragmented that, effectively, no one can take advantage of them",1
Patents and copyrights are the legal implementation of the base of all property rights: a man's right to the product of his mind,1
intellectual property laws can actually hinder innovation,1
they divert resources from research and development to patent filing and lawsuits,1
are not a legitimate subject of property rights,1
the only way that intellectual property rights can be implemented is by limiting others' physical property rights,1
"prohibiting people from using, reproducing, and trading copyrighted material is an infringement of freedom of speech",1
one cannot own information without owning other people,1
the patent monopoly..consists in protecting inventors..against competition for a period long enough to extort from the people a reward enormously in excess of the labor measure of their services,1
have hindered the ability of consumers to buy the products they want,1
copyright law protects corporate interests while criminalizing legitimate use,1
the law is fair and just,1
patent and copyright laws support in fundamental and thoroughgoing ways the expansion of the range of creative human activities that can be commodified,1
granting developers temporary monopolies over their works encourages further development and creativity,1
copyright has never been of net benefit to society,1
serves to enrich a few at the expense of creativity,1
"copyright is invalid because, unlike physical property, intellectual property is not scarce",1
is obsolete,1
the cost of trying to enforce it is unreasonable,1
"knowledge should be ""shared in solidarity",1
copyright law as preventing or slowing human progress,1
"without an intellectual property rights regime, authors would have no incentive to further create",1
artists cannot produce new works without an economic incentive,1
copyright drives the economy by compelling creativity,1
is a fundamental right for both creators and consumers,1
all proposed alternatives to copyright protection do not allow for viable business models,1
content creators would not have incentive to produce their products if they cannot be guaranteed payment,1
intellectual property as a necessary way of incentivising the creation of new creative works,1
"in the absence of intellectual property protections such as copyright and patents, various types of intangible assets would be under-produced",1
"copyright remains the fundamental way by which authors, sculptors, artists, musicians and others can fund the creation of new works",1
"without a significant period of legal protection of their future income, many valuable books and artworks would not be created",1
"Without a feasible way to recoup investments of creative time through copyright, there would be little economic incentive to produce",1
it has been largely successful in financing the creation and distribution of a wide variety of works,1
the very concept of copyright has never benefited society,1
has always served simply to enrich a few at the expense of creativity,1
the current (international) copyright system undermines its own goal,1
quality works can be created even in the absence of a copyright-enforced monopoly rent,1
Copyright can also be used to stifle political criticism,1
has made and continues to make a valuable even essential contribution to the creation and dissemination of works,1
Patents provide incentives for economically efficient research and development,1
patents facilitate and encourage disclosure of innovations into the public domain for the common good,1
"If inventors did not have the legal protection of patents, in many cases, they would prefer or tend to keep their inventions secret",1
Awarding patents generally makes the details of new technology publicly available,1
"when a patent's term has expired, the public record ensures that the patentee's idea is not lost to humanity",1
patents have been criticized as inconsistent with free trade,1
property rights encourage their holders to develop the property,1
property rights encourage their holders to develop their property or generate wealth,1
interference by the state over the centuries in property ownership has had dire consequences for justice as well as for economic productivity,1
all information should be freely distributed and unrestricted,1
The total amount of available power from the wind is considerably more than present human power use from all sources,1
"Wind power, as an alternative to fossil fuels, is plentiful",1
produces no greenhouse gas emissions during operation,1
uses little land,1
any effects on the environment from wind power are generally much less problematic than those of any other power source,1
The total amount of economically extractable power available from the wind is considerably more than present human power use from all sources,1
Electricity generated from wind power can be highly variable,1
predictability of wind plant output remains low,1
variability can present substantial challenges to incorporating large amounts of wind power,1
the non-dispatchable nature of wind energy production can raise costs for regulation,1
peak wind speeds may not coincide with peak demand for electrical power,1
Wind power has low ongoing costs,1
wind to be more expensive than other sources,1
can reduce costs for consumers,1
"Compared to the environmental impact of traditional energy sources, the environmental impact of wind power is relatively minor",1
Wind power consumes no fuel,1
emits no air pollution,1
they 'ruin the landscape,1
Wind power has gained very high social acceptance,1
Wind projects also revitalize the economy of rural communities,1
An important limiting factor of wind power is variable power generated by wind farms,1
the environmental impact of wind power is relatively minor,1
Wind power consumes no fuel,1
emits no air pollution,1
Wind farms can interfere with ground radar systems,1
"Compared to the environmental impact of traditional energy sources, the environmental impact of wind power is relatively minor",1
emits no air pollution,1
Wind power consumes no fuel and no water,1
Producing electricity from wind reduces the consumption of fossil fuels and therefore leads to emissions savings,1
Wind turbines do not consume fuel or produce pollution during normal operation,1
They have a smaller footprint than other forms of energy generation,1
wind farms will damage tourism,1
may cause physiological problems,1
people living near wind power facilities are increasingly complaining of health problems,1
wind farms causing annoyance and ill health in people,1
the unpredictable intervals of near-zero output render windpower unsuitable as a base generating capacity,1
Wind projects also revitalize the  economy of rural communities,1
is a proven and reliable technology,1
"The operating costs are relatively low, with each additional unit of wind power costing very little to produce",1
wind energy is one of the most cost efficient sources of renewable energy,1
has one of the lowest environmental impacts of all energy sources,1
There is very little emission or pollution produced by its operation,1
wind power produces a net decrease in greenhouse gas emissions and air pollution,1
Wind power is a product with no hidden costs and economically the most inexpensive form of energy production,1
The use of wind power reduces the necessity for importing electricity from abroad,1
Production of wind power does not release any pollutants,1
wind power does not pose a threat to people or the environment,1
Wind power has poor capacity contribution,1
Wind-generated power is a variable resource,1
"Wind power is ""highly non-dispatchable",1
A wind farm is highly reliable,1
the power output from wind varies,1
wind power is dependent on weather systems,1
"wind must be backed by an equal amount of ""back-up capacity",1
every wind turbine must be backed up by reliable power,1
Wind power has gained very high social acceptance,1
Wind power has gained very high social acceptance,1
Wind energy is a clean energy source,1
does not emit greenhouse gases or carbon dioxide,1
Many find wind turbines to not be very aesthetically pleasing and consider them to be an eyesore,1
Wind turbines have the potential to have adverse effects on tourism,1
Renewable energy is sustainable in its production,1
The production of zero carbon electricity at the wind farm is expected to reduce emissions of carbon dioxide,1
"wind power ""cannot be relied upon to provide significant levels of power",1
wind power as the cleanest source of renewable energy,1
wind farms are necessary to meet current and future energy needs,1
wind power can improve energy security,1
